1684046752.027835,"-0.0168,0.0385,-0.0151,2.0000,0.0000,1.0000,64"
1684046752.1314769,"-0.0164,0.0362,-0.0147,2.0000,0.0000,1.0000,64"
1684046752.235425,"-0.0135,0.0361,-0.0143,2.0000,0.0000,1.0000,64"
1684046752.3392751,"-0.0139,0.0369,-0.0152,2.0000,0.0000,1.0000,64"
1684046752.443147,"-0.0184,0.0376,-0.0141,2.0000,0.0000,1.0000,64"
1684046752.547186,"-0.0144,0.0357,-0.0139,2.0000,0.0000,1.0000,64"
1684046752.65127,"-0.0139,0.0354,-0.0141,2.0000,0.0000,1.0000,64"
1684046752.755141,"-0.0145,0.0358,-0.0137,2.0000,0.0000,1.0000,64"
1684046752.85903,"-0.0151,0.0378,-0.0144,2.0000,0.0000,1.0000,64"
1684046752.9650319,"-0.0136,0.0358,-0.0147,2.0000,0.0000,1.0000,63"
1684046753.066725,"-0.0147,0.0372,-0.0147,2.0000,0.0000,1.0000,64"
1684046753.170676,"-0.0171,0.0377,-0.0145,2.0000,0.0000,1.0000,64"
1684046753.274739,"-0.0125,0.0342,-0.0140,2.0000,0.0000,1.0000,64"
1684046753.378562,"-0.0145,0.0368,-0.0141,2.0000,0.0000,1.0000,64"
1684046753.482683,"-0.0107,0.0320,-0.0109,2.0000,0.0000,1.0000,64"
1684046753.5871959,"-0.0032,0.0284,-0.0085,2.0000,0.0000,1.0000,64"
1684046753.6906009,"-0.0044,0.0269,-0.0128,1.0000,0.0000,1.0000,64"
1684046753.794709,"-0.0248,0.0445,-0.0161,2.0000,0.0000,1.0000,64"
1684046753.89836,"-0.0234,0.0433,-0.0171,2.0000,0.0000,1.0000,64"
1684046754.004555,"-0.0068,0.0300,-0.0128,2.0000,0.0000,1.0000,64"
1684046754.106126,"-0.0067,0.0297,-0.0129,2.0000,0.0000,1.0000,64"
1684046754.2104251,"-0.0215,0.0410,-0.0163,2.0000,0.0000,1.0000,64"
1684046754.3144,"-0.0218,0.0422,-0.0147,2.0000,0.0000,1.0000,64"
1684046754.4183118,"-0.0068,0.0304,-0.0115,2.0000,0.0000,1.0000,64"
1684046754.5222132,"-0.0105,0.0309,-0.0127,2.0000,0.0000,1.0000,64"
1684046754.626296,"-0.0208,0.0421,-0.0156,2.0000,0.0000,1.0000,63"
1684046754.730264,"-0.0184,0.0380,-0.0141,2.0000,0.0000,1.0000,64"
1684046754.834153,"-0.0125,0.0336,-0.0127,2.0000,0.0000,1.0000,64"
1684046754.9380841,"-0.0135,0.0353,-0.0143,2.0000,0.0000,1.0000,64"
1684046755.042016,"-0.0081,0.0313,-0.0121,2.0000,0.0000,1.0000,64"
